TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
ABB;ABB INDIA LIMITED;5070.3;5472.45;5070.3;5443.45;5443.45;13914;74573491
AEGISLOG;AEGIS LOGISTICS LTD.;770.75;802.2;770.75;797.05;797.05;71660;56291111
ARE&M;Amara Raja Energy & Mobility L;932.45;957.5;932.45;954.45;954.45;125475;118764043
AMBALALSA;AMBALAL SARABHAI ENTERPRISES L;34.89;35.4;34.21;35.2;35.25;80662;2799484
ANDHRAPET;ANDHRA PETROCHEMICALS LTD.;53.1;54.89;53.1;53.9;53.77;24540;1321267
ANSALAPI;ANSAL PROPERTIES & INFRASTRUCT;4.62;4.62;4.62;4.62;4.62;11293;52173
UTIQUE;UTIQUE ENTERPRISES LIMITED;4.21;4.48;4.21;4.3;4.3;72306;311018
ARUNAHTEL;ARUNA HOTELS LTD.;10.5;11.63;10.15;10.41;10.64;5475;56765
BOMDYEING;BOMBAY DYEING & MFG.CO.LTD.;125.75;127.6;122.5;127.1;127.45;32406;4053334
ASIANHOTNR;ASIAN HOTELS (NORTH) LIMITED;349;349;349;349;349;26;9074
ATUL;ATUL LTD.;6509.1;6797.9;6509.1;6781.1;6773.5;1787;12007267
ATVPR;ATV PROJECTS INDIA LTD.;29.7;32.84;29.7;30.14;30.25;18725;568792
BAJAJELEC;BAJAJ ELECTRICALS LTD.;526;536.95;522.4;531.2;533.05;2737;1447780
BAJAJHIND;BAJAJ HINDUSTHAN SUGAR LIMITED;17.97;19.35;17.97;19.07;19.07;1205606;22308636
FORCEMOT;FORCE MOTORS LTD.;9598.85;9798.5;9384.5;9729.4;9700;10867;104620637
BAJFINANCE;BAJAJ FINANCE LIMITED;8650;8779.8;8605.05;8640.2;8640.2;23143;200845185
BALRAMCHIN;BALRAMPUR CHINI MILLS LTD.;485.05;548.9;485.05;525.8;525.8;15849;8418220
BANCOINDIA;BANCO PRODUCTS (INDIA) LTD.;351;371.55;348.7;367.95;360.65;27579;9954792
ABREL;ADITYA BIRLA REAL ESTATE LIMIT;1801.05;1864.45;1801.05;1833.05;1850.9;3248;5930120
BANARISUG;BANNARI AMMAN SUGARS LTD.;3984;4106.7;3859.05;3922.95;3859.05;328;1307645
BASF;BASF INDIA LTD.;4327.95;4339;4225.35;4325.2;4322.5;1153;4947428
BATAINDIA;BATA INDIA LTD.;1199.25;1199.25;1185;1196.35;1196.35;9685;11549332
BEML;BEML LTD.;2900.05;3071.45;2900.05;3058.65;3057.95;11558;34952042
BEL;BHARAT ELECTRONICS LTD.;305;321.8;305;315.75;315.75;2582661;816039490
BEPL;BHANSALI ENGINEERING POLYMERS;100.75;104.4;100.75;104;103.4;39253;4027734
BIHSPONG;BIHAR SPONGE IRON LTD.;10.2;12.7;10.2;11.78;11.93;7903;93398
BINANIIND;BINANI INDUSTRIES LTD.;14.45;14.6;14.44;14.44;14.44;4176;60304
BIRLACABLE;Birla Cable Limited;140.35;143.25;139.6;142.7;143.25;2618;368298
BLUESTARCO;BLUE STAR LTD.;1574.65;1613.25;1541.1;1596.75;1602.5;24203;38096672
DISAQ;DISA INDIA LTD.;13658.95;13979.95;13658.95;13771.65;13850;23;318491
QUESTCAP;QUEST CAPITAL MARKETS LIMITED;385;385;365;380.15;381.85;634;239863
BPL;BPL LTD.;68.27;69.63;67.75;69;69.49;5407;371619
OAL;ORIENTAL AROMATICS LIMITED;340.35;353.4;335.85;343.1;345;5406;1858622
CENTEXT;CENTURY EXTRUSIONS LTD.;18;18;17;17.36;17.1;6783;115961
CESC;CESC LTD.;153.45;159.4;153.45;157.7;157.7;71616;11317284
CHAMBLFERT;CHAMBAL FERTILISERS & CHEMICAL;656.1;696.65;656.1;693.7;693.7;214139;145388350
EXIDEIND;EXIDE INDUSTRIES LTD.;346.45;362.1;346.45;360.75;361.05;105160;37519539
CIPLA;CIPLA LTD.;1455.05;1485;1455.05;1478.5;1476.8;10571;15574519
DICIND;DIC INDIA LTD.;651.05;678;647.2;649.55;647.2;310;202106
CRISIL;CRISIL LTD.;4900.25;4930;4822.3;4865.65;4865.65;1254;6101851
CGPOWER;CG Power and Industrial Soluti;590.3;614.55;587.75;609.3;608.85;79935;48025148
DABUR;DABUR INDIA LTD.;460.05;467.2;458.7;462.85;462.85;62783;29024095
DALMIASUG;DALMIA BHARAT SUGAR AND INDUST;365;375.95;360.05;371.95;371.95;4468;1640697
ARVIND;ARVIND LTD.;355.05;375.55;355.05;371.25;372;12751;4733593
BHEL;BHARAT HEAVY ELECTRICALS LTD.;210.4;217.95;210.4;216.75;216.75;673650;144978849
HINDPETRO;HINDUSTAN PETROLEUM CORPORATIO;380.05;387.85;380.05;386.1;386.1;155809;59988313
IFCI;IFCI LTD.;39.1;39.5;38.13;39.19;39.19;324342;12561707
MTNL;MAHANAGAR TELEPHONE NIGAM LTD.;38.85;39.28;38;39.17;39.04;234319;9077661
MRPL;MANGALORE REFINERY & PETROCHEM;119.35;125.95;119.35;125.35;125.35;206410;25660100
CHENNPETRO;CHENNAI PETROLEUM CORPORATION;584.8;598.7;584.8;592.1;588.85;33420;19757299
SBIN;STATE BANK OF INDIA;755.25;781.4;755.25;779.4;779.4;375997;290025394
SAIL;STEEL AUTHORITY OF INDIA LTD.;106.8;109.35;106.25;108.95;108.95;2359409;256166277
TITAN;TITAN COMPANY LIMITED;3350.05;3530;3350.05;3510.8;3510.8;156880;548799998
IDBI;IDBI BANK LTD.;74.09;76.63;74.09;76.31;76.31;282774;21471490
DCW;DCW LTD.;71.91;74.56;71.91;73.66;73.6;65950;4848203
DHAMPURSUG;DHAMPUR SUGAR MILLS LTD.;118.05;119.15;115.6;118.35;118.35;27635;3246821
DIAMINESQ;DIAMINES & CHEMICALS LTD.;310;357.95;310;356.8;344;1235;425224
ELANTAS;ELANTAS BECK INDIA LTD.;8630;9000;8630;8970.9;8960;719;6379087
DRREDDY;DR.REDDYS LABORATORIES LTD.;1130.05;1166.25;1130.05;1156.4;1156.4;113089;129703484
EIDPARRY;E.I.D.-PARRY (INDIA) LTD.;810.75;841.1;810.75;837.55;838;15856;13114052
PGHL;PROCTER & GAMBLE HEALTH LIMITE;4995;5053.65;4955.35;5030.35;5028.3;211;1057230
ELECTCAST;ELECTROSTEEL CASTINGS LTD.;86.03;89.6;86.03;88.79;88.79;197163;17280185
ESABINDIA;ESAB INDIA LTD.;4581;4619;4529.9;4610.9;4619;96;439293
EPL;EPL LIMITED;199.8;209.7;194.35;208.45;208.7;203756;41610872
ESTER;ESTER INDUSTRIES LTD.;112.05;115.85;112.05;114.65;114.5;7978;908767
FGP;FGP LTD.;10.01;10.01;9.31;9.72;9.85;962;9432
PHCAP;PH CAPITAL LTD.;177.55;183.95;175.55;181.7;180;415;74926
FINCABLES;FINOLEX CABLES LTD.;835.2;882.85;835.2;877.35;877.35;25569;22262313
COCKERILL;JOHN COCKERILL INDIA LIMITED;2630;2698.85;2619.9;2623.9;2624.95;1745;4618484
UFLEX;UFLEX LTD.;510.05;535.6;510.05;530.1;531.15;1134;597030
FOSECOIND;FOSECO INDIA LTD.;3574;3834.45;3482.65;3828.55;3834.45;75;282046
GANESHBE;GANESH BENZOPLAST LTD.;110.75;113.65;108.2;108.7;109;5235;578811
METROGLOBL;METROGLOBAL LIMITED;121.05;127;121;121.65;127;874;106764
GTL;GTL LTD.;7.61;7.91;7.61;7.88;7.9;73783;573253
GODFRYPHLP;GODFREY PHILLIPS INDIA LTD.;7920.05;8219.5;7866.15;8192.8;8219;1589;12804793
GODREJIND;GODREJ INDUSTRIES LTD.;1065.7;1107.95;1065.7;1081.8;1078.5;4794;5208032
KANSAINER;KANSAI NEROLAC PAINTS LTD.;235.75;258.3;235.75;257.55;257.5;16630;4189452
GOODRICKE;GOODRICKE GROUP LTD.;169.95;171.75;168.25;171;171;1762;299078
GOODYEAR;GOODYEAR INDIA LTD.;898.4;915;886.05;902.7;902.7;5344;4809366
GTNINDS;GTN INDUSTRIES LTD.;25.9;25.9;24.1;24.25;24.25;3305;80190
GHCL;GHCL LTD.;535.1;579;535.1;575.5;573;11017;6228640
GFLLIMITED;GFL LIMITED;52.77;53.23;51.94;52.78;52.78;13277;694058
HCL-INSYS;HCL INFOSYSTEMS LTD.;12.51;12.97;12.43;12.51;12.51;22696;283793
HDFCBANK;HDFC BANK LTD.;1905.15;1919;1886.45;1889.2;1889.2;107594;204155928
HEROMOTOCO;HERO MOTOCORP LTD.;3710.1;3895;3710.1;3854.3;3854.3;23715;90909688
HFCL;HFCL LIMITED;73.31;75;72.1;74.12;74.12;534884;39307340
HSCL;Himadri Speciality Chemical Lt;407.05;424.5;407.05;414.2;416;75672;31548598
HCC;HINDUSTAN CONSTRUCTION CO.LTD.;23.68;24.45;23.17;24.3;24.3;1007865;24151021
HINDOILEXP;HINDUSTAN OIL EXPLORATION CO.L;166.35;173.75;166.35;173;173;11136;1909224
AGI;AGI GREENPAC LIMITED;769.3;795.75;758.85;788;788.5;4290;3346448
HINDZINC;HINDUSTAN ZINC LTD.;400;409.9;399.8;408.1;409.85;67654;27354577
NDLVENTURE;NDL Ventures Limited;59.74;59.74;56.79;57.11;57.1;851;48598
HMT;HMT LTD.;45.6;47;45.6;47;47;1323;61654
PRAGBOS;PRAG BOSIMI SYNTHETICS LTD.;2.3;2.3;2.11;2.23;2.23;1605;3523
HLVLTD;HLV LIMITED;11.22;11.74;11.22;11.64;11.64;127387;1471877
IGPL;I G PETROCHEMICALS LTD.;409.4;417.65;408.15;409.15;408.15;1337;550498
INDIAGLYCO;INDIA GLYCOLS LTD.;1443.95;1443.95;1368.85;1399.5;1399.65;1885;2626472
INDLEASE;INDIA LEASE DEVELOPMENT LTD.;9.75;9.75;9.11;9.6;9.6;303;2763
MARGOFIN;MARGO FINANCE LIMITED;80.2;80.2;73.87;74.1;74.03;2156;160075
INDORAMA;INDO RAMA SYNTHETICS (INDIA) L;36.21;37.48;36.01;37.23;37.48;12002;441908
INFY;INFOSYS LTD.;1491.2;1511;1491.2;1507.45;1507.45;75913;114112307
INGERRAND;INGERSOLL-RAND (INDIA) LTD.;3598.25;3610.75;3501;3553.5;3563;781;2766990
ITHL;INTERNATIONAL TRAVEL HOUSE LTD;455.15;478.65;455.15;473.4;470;4310;2005923
IONEXCHANG;ION EXCHANGE (INDIA) LTD.;470.25;517;470.25;513.5;514.6;19892;10036848
SUNDROP;SUNDROP BRANDS LIMITED;765.55;779;759.45;772.4;761.2;824;630489
JISLJALEQS;JAIN IRRIGATION SYSTEMS LTD.;48.31;49.49;47.4;49.04;49.11;186179;8978211
JASCH;JASCH INDUSTRIES LTD.;174;174;167.1;173.3;168.45;120;20541
JINDALPOLY;JINDAL POLY FILMS LTD.;615.95;624.7;600;610.75;615.85;3365;2050813
JSWSTEEL;JSW STEEL LTD.;935.05;959;935.05;956.85;954.6;17085;16252531
UMANGDAIRY;UMANG DAIRIES LTD.;73.56;74.43;72.99;73.8;73.8;1734;128011
KAJARIACER;KAJARIA CERAMICS LTD.;779.05;858.05;779.05;855.15;855.1;12682;10668243
KAKATCEM;KAKATIYA CEMENT SUGAR & INDUST;155;155;139.05;140.55;140.55;865;124673
KSL;KALYANI STEELS LTD.;701.1;726.1;701.1;723.35;723.55;3787;2713544
WHIRLPOOL;WHIRLPOOL OF INDIA LTD.;1180;1231.4;1180;1219.35;1219.35;10016;12225473
KGDENIM;KG DENIM LTD.;18;18;14.5;15.28;15.28;5832;89631
KINETICENG;KINETIC ENGINEERING LTD.;170;170.5;165.75;167.7;169.75;6049;1015007
KIRLOSBROS;KIRLOSKAR BROTHERS LTD.;1800.05;1820;1770.9;1808.8;1808.8;12101;21796316
KIRLOSIND;KIRLOSKAR INDUSTRIES LTD;2692.05;2899;2692.05;2891.05;2878.75;473;1348451
KIRLFER;KIRLOSKAR FERROUS INDUSTRIES L;466;523;466;490.95;490.95;330314;164361132
ENVAIREL;ENVAIR ELECTRODYNE LTD.;95;95;95;95;95;41;3895
KOTAKBANK;KOTAK MAHINDRA BANK LTD.;2065.2;2119.55;2065.2;2103.75;2110;22244;46729684
KRIFILIND;KRISHNA FILAMENT INDUSTRIES LI;6.25;6.25;6.03;6.03;6.03;9;54
KSB;KSB LIMITED;724.95;761.65;710.05;757.5;756.1;5097;3767139
LGBBROSLTD;L.G.BALAKRISHNAN & BROS.LTD.;1183.75;1224;1183.75;1215.65;1211.2;1073;1288548
TRENT;TRENT LTD.;5040.85;5204.75;5040.85;5114.15;5114.15;48908;251029368
LMW;LMW Limited;15589;16310;15529;16269.55;16260.25;436;6972218
LICHSGFIN;LIC HOUSING FINANCE LTD.;563.95;576;563.95;574.65;574.65;21644;12372409
LUPIN;LUPIN LTD.;1989.2;2047.8;1976.3;2037.85;2029.35;14087;28305031
LYKALABS;LYKA LABS LTD.;105.5;107.6;103.75;107.1;107.1;2445;255816
RAMCOCEM;THE RAMCO CEMENTS LIMITED;900.75;940.2;900.75;939;937.35;5811;5430055
HYBRIDFIN;HYBRID FINANCIAL SERVICES LIMI;10.04;10.72;9.65;10.35;10.33;684;7129
MAFATIND;MAFATLAL INDUSTRIES LTD.;124.15;125.9;121.5;124.95;125.9;38240;4727649
MAHSEAMLES;MAHARASHTRA SEAMLESS LTD.;620.05;638.2;620;633.8;633.25;9803;6182323
MAHSCOOTER;MAHARASHTRA SCOOTERS LTD.;10600;10821.05;10499.6;10772.1;10742;297;3165797
MAJESAUT;MAJESTIC AUTO LTD.;271;308.25;271;291.75;291.75;677;198900
MANALIPETC;MANALI PETROCHEMICAL LTD.;51;52.19;50.3;51.81;52;9391;482459
BARODARY;BARODA RAYON CORPORATION LTD.;129.1;132.25;126.9;129.05;128;836;107997
MFSL;Max Financial Services Limited;1252.7;1272;1246.8;1268.45;1268.45;15868;20090969
MIDINDIA;MID INDIA INDUSTRIES LTD.;8.39;8.39;8;8.1;8.39;1189;9662
MIRCELECTR;MIRC ELECTRONICS LTD.;13.19;13.19;13.19;13.19;13.19;5442;71779
CENTENKA;CENTURY ENKA LTD.;430;434.9;422.95;433.05;434.85;2441;1045489
MODTHREAD;MODERN THREADS (INDIA) LTD.;42.99;42.99;40.5;40.65;42;60;2509
LORDSCHLO;LORDS CHLORO ALKALI LTD.;140.1;140.1;140.1;140.1;140.1;10;1401
SPICEJET;SPICEJET LTD.;41.6;44;41.6;43.18;43.18;7944830;340257292
MOREPENLAB;MOREPEN LABORATORIES LTD.;56.32;57.33;54.9;56.23;56.23;402474;22500966
MRF;MRF LTD.;137000;138182.9;135600;137736.65;137760.2;411;56336652
HEIDELBERG;HEIDELBERGCEMENT INDIA LTD.;184.6;189.45;184.6;188.1;187.3;3224;603097
NCC;NCC LIMITED;200.1;208.05;200.1;206.65;208.05;95396;19509983
VEDL;VEDANTA LIMITED;400.05;408.75;398.85;407.85;407.85;313114;126776976
NAHARSPING;NAHAR SPINNING MILLS LTD.;241.95;249.3;238.6;245.2;249.15;14423;3525258
NAPEROL;Naperol Investments Limited;921;960;901.2;918.95;918.95;3165;2933710
GRASIM;GRASIM INDUSTRIES LTD.;2600.65;2680.8;2600.65;2633.6;2635;7383;19554601
PEL;PIRAMAL ENTERPRISES LTD.;981.25;1014.4;981.25;1012.7;1011.05;18234;18209595
NIITLTD;NIIT LTD.;123;130.1;123;129.2;129.5;60552;7666553
JAYKAY;Jaykay Enterprises Limited;138.95;145.75;136.1;143.15;143.15;125498;17831439
NIRLON;NIRLON LTD.;515.2;528.15;515;524.85;526.8;5892;3076457
ONGC;OIL AND NATURAL GAS CORPORATIO;226.3;235.3;226.3;234.75;234.25;192923;44938014
OILCOUNTUB;OIL COUNTRY TUBULAR LTD.;65;67.01;64.85;65.08;65.39;17028;1106635
ORIENTHOT;ORIENTAL HOTELS LTD.;130;131.7;127.3;127.7;127.75;5727;738873
OSWALAGRO;OSWAL AGRO MILLS LTD.;76.29;78.99;75.12;76.18;76.18;6658;508785
INDSUCR;INDIAN SUCROSE LTD.;89.77;89.77;85.16;88.62;88.98;3952;342587
PANCM;PANYAM CEMENTS & MINERAL INDUS;108;117.6;108;110.4;117.6;138;15082
RELIANCE;RELIANCE INDUSTRIES LTD.;1372.05;1395;1372.05;1377.75;1377.75;388444;537199089
PILITA;Pil Italica Lifestyle Limited;13.66;15.14;13.66;14.74;14.74;105639;1573386
RAYMOND;RAYMOND LTD.;1462.15;1524.9;1451.15;1455.85;1459.8;44512;65545211
PIDILITIND;PIDILITE INDUSTRIES LTD.;2903.1;3031.55;2903.1;2976.8;2976.8;15953;47657341
PIXTRANS;PIX TRANSMISSIONS LTD.;1450;1501.5;1449.95;1487.85;1490;3215;4734829
BIRLACORPN;BIRLA CORPORATION LTD.;1001.05;1065.25;1001.05;1058.55;1060;1308;1368333
SURYAROSNI;SURYA ROSHNI LTD.;254.3;263.9;253.8;263.05;262.5;22144;5726039
PRIMESECU;PRIME SECURITIES LTD.;230;236.6;228;229;228;708;164581
PRSMJOHNSN;PRISM JOHNSON LIMITED.;123.5;123.5;118.65;121.1;120.15;14560;1744980
RAIN;RAIN INDUSTRIES LIMITED;134.95;139.1;134.35;136.6;136.85;70910;9670491
PRUDMOULI;PRUDENTIAL SUGAR CORPORATION L;39.71;39.71;39.71;39.71;39.71;600;23826
AMJLAND;AMJ LAND HOLDINGS LIMITED;44.5;46.12;44.5;45.36;45.36;3314;151300
PUNJCOMMU;PUNJAB COMMUNICATIONS LTD.;48.66;50.93;48.66;50.39;50.39;19;954
RSWM;RSWM LTD.;142.95;145.2;140.55;144.85;144.85;4405;628497
RAJSREESUG;RAJSHREE SUGARS & CHEMICALS LT;41.43;43.08;40.18;42.32;43.08;6853;281395
RALLIS;RALLIS INDIA LTD.;225.75;237.4;225.75;235.3;235.3;29367;6827118
RAMANEWS;SHREE RAMA NEWSPRINT LTD.;30.5;33.7;30.5;33.7;33.7;53445;1779926
RAPICUT;RAPICUT CARBIDES LTD.;69.45;69.45;68.85;68.85;68.85;48;3324
WELSPLSOL;WELSPUN SPECIALTY SOLUTIONS LI;28.64;28.98;27.95;28.59;28.59;253969;7242303
ROLTA;ROLTA INDIA LTD.;2.15;2.15;2.07;2.09;2.11;35395;74878
RUBFILA;RUBFILA INTERNATIONAL LTD.;62.6;64.74;62;64;64.2;5165;324435
PATANJALI;Patanjali Foods Limited;1762.55;1795.4;1736;1759.1;1780;10776;18986118
SALORAINTL;SALORA INTERNATIONAL LTD.;42.5;42.99;41.82;41.82;41.82;416;17685
JINDALSAW;JINDAL SAW LTD.;208.05;208.05;199.75;201.9;203.2;145249;29356165
JKLAKSHMI;JK LAKSHMI CEMENT LTD.;750.7;773.8;744.35;771.85;769.7;1566;1190509
SHREECEM;SHREE CEMENT LTD.;29090.25;29523;28745;29287.3;29285;215;6267747
SILVERLINE;SILVERLINE TECHNOLOGIES LTD.;10.4;10.76;10.17;10.3;10.3;18492;193306
RELINFRA;RELIANCE INFRASTRUCTURE LTD.;226.05;236;225.6;234.4;235.5;296607;68285345
TATAPOWER;TATA POWER CO.LTD.;357.55;371.9;357.55;371.15;371.15;289478;105554013
SPMLINFRA;SPML INFRA LIMITED;159.9;173.8;156;170.95;173.8;16514;2698318
SUNDRMFAST;SUNDRAM FASTENERS LTD.;932.35;953.75;932.35;947.2;949.95;1396;1320496
SUNFLAG;SUNFLAG IRON & STEEL CO.LTD.;222.4;228.5;218.05;226.15;226.15;17039;3770251
SPLPETRO;SUPREME PETROCHEM LTD.;651.2;714.55;651.2;703.1;703.1;15838;10877075
SWARAJENG;SWARAJ ENGINES LTD.;3870.95;4000;3870.95;3918.7;3935.3;1504;5887326
TATAELXSI;TATA ELXSI LTD.;5500.3;5772.7;5442.75;5738.45;5725;17242;98374274
ACC;ACC LTD.;1775.05;1818.2;1775.05;1813.2;1813.2;12203;21937371
THERMAX;THERMAX LTD.;3148.95;3250;3090;3234.75;3234.75;3559;11269479
TIRUMALCHM;THIRUMALAI CHEMICALS LTD.;238.05;241;233.35;239.2;239;16068;3799764
THOMASCOOK;THOMAS COOK (INDIA) LTD.;124.25;129.4;124.25;127.05;128.35;64662;8227982
TIMEX;TIMEX GROUP INDIA LTD.;210.4;228.9;205.55;222.25;222.25;330331;72221110
TOKYOPLAST;TOKYO PLAST INTERNATIONAL LTD.;122.95;126;122.95;124.5;126;1692;211097
TORNTPHARM;TORRENT PHARMACEUTICALS LTD.;3147.15;3187.65;3101;3137.55;3130;1614;5065652
TPINDIA;TPI INDIA LTD.;16.1;16.79;15.46;15.48;15.46;331;5291
TRANSCHEM;TRANSCHEM LTD.;35.2;38.96;35.2;37.12;37.11;2738;100199
AMBUJACEM;AMBUJA CEMENTS LTD.;512.55;529.35;512.55;527.9;527.9;180942;94408703
UTLINDS;UTL INDUSTRIES LIMITED;2.49;2.65;2.4;2.57;2.58;122204;306498
UNIENTER;UNIPHOS ENTERPRISES LTD.;151.05;153;146.55;153;153;1516;228761
VHL;VARDHMAN HOLDINGS LTD.;3339.3;3401.8;3296;3342.2;3351.15;102;340252
HINDALCO;HINDALCO INDUSTRIES LTD.;602.1;630.1;602.1;627.3;625.8;107176;66609653
WSTCSTPAPR;West Coast Paper Mills Limited;415.6;426;413.4;421.95;423.25;2779;1165533
HOCL;HINDUSTAN ORGANIC CHEMICALS LT;33.01;33.01;31.79;31.82;31.82;43145;1384192
PASUPTAC;PASUPATI ACRYLON LTD.;43;43.7;42.9;43.5;43.5;3051;131708
KORE;Kore Foods Limited;27.25;29.78;27.25;28.09;29.78;4466;130320
PGHH;PROCTER & GAMBLE HYGIENE & HEA;13700.2;14033.2;13673.4;13936.1;13938;295;4083235
MUKANDLTD;MUKAND LTD.;97;97.3;95.8;97.15;97.15;3664;353077
BBOX;BLACK BOX LIMITED;370.85;390.7;370;386.45;387.2;44763;16991771
UCAL;UCAL LIMITED;137.95;141;136;138.9;138.9;1307;180866
HARRMALAYA;HARRISONS MALAYALAM LTD.;196.5;200;193.25;199;199.35;629;124096
FEDERALBNK;FEDERAL BANK LTD.;182.6;187.9;182.6;187.65;187.9;161347;30101757
TATASTEEL;TATA STEEL LTD.;140.6;143.3;140.4;142.75;142.75;1082494;153877892
SKFINDIA;SKF INDIA LTD.;3765.75;3949.65;3765.75;3927.45;3938.8;461;1808897
ASHOKLEY;ASHOK LEYLAND LTD.;217.8;222;214;221.7;221.7;151523;33247261
CUMMINSIND;CUMMINS INDIA LTD.;2701.65;2762;2701.65;2737.15;2737.15;12630;34504458
TATACOMM;TATA COMMUNICATIONS LTD.;1455.15;1522.4;1455.15;1516.95;1520.9;12594;18886835
ABBOTINDIA;ABBOTT INDIA LTD.;29610;30299.95;29505.6;30147.65;30147.65;164;4900752
BAJAJHLDNG;BAJAJ HOLDINGS & INVESTMENT LT;11548.95;11548.95;11166;11234.15;11209;1571;17767566
BHARATFORG;BHARAT FORGE LTD.;1124.55;1176.4;1112.3;1166.05;1166.05;302891;349630605
ESCORTS;Escorts Kubota Limited;3120.05;3220.6;3109.05;3131.1;3129;3967;12499348
HINDMOTORS;HINDUSTAN MOTORS LTD.;23;23.45;22.81;23.27;23.27;222044;5127815
LT;LARSEN & TOUBRO LTD.;3324;3477.55;3323.95;3445.7;3445.7;204763;703250245
M&M;MAHINDRA & MAHINDRA LTD.;2950.1;3052.8;2950.1;2982.75;2982.75;29894;90005391
BOSCHLTD;BOSCH LTD.;29500.05;30175;29500.05;30007.7;30000.3;275;8217965
PREMIER;PREMIER LTD.;3.04;3.08;3.04;3.08;3.08;160;488
BPCL;BHARAT PETROLEUM CORPORATION L;301.2;307.25;301.2;306.7;306.7;194010;59049298
SIEMENS;SIEMENS LTD.;2799.95;2876.5;2787.15;2858.15;2863.4;16465;46684429
TATAMOTORS;TATA MOTORS LTD.;662.6;710.85;662.6;708.5;708.5;2414487;1690287151
VOLTAS;VOLTAS LTD.;1185.8;1239.4;1185.8;1235.75;1235.75;164943;201170268
GESHIP;GREAT EASTERN SHIPPING CO.LTD.;842.35;879.85;842.35;875.65;875.65;31569;27429140
DEEPAKFERT;DEEPAK FERTILISERS & PETROCHEM;1245.7;1263;1203.5;1257.95;1257.95;13557;16741358
EXCELINDUS;EXCEL INDUSTRIES LTD.;1029.65;1035.8;995.35;1020.1;1026.45;1519;1545826
GRWRHITECH;GARWARE HI-TECH FILMS LIMITED;3007.2;3235;3007.2;3198.85;3198.85;8353;26258589
GLAXO;GLAXOSMITHKLINE PHARMACEUTICAL;2714.15;2769.95;2699.3;2758.3;2749.8;2240;6126265
GNFC;GUJARAT NARMADA VALLEY FERTILI;470.15;477;460.95;466.7;466.2;38356;17890723
NOVARTIND;NOVARTIS INDIA LTD.;789;808;785.55;804.1;804.1;6795;5424327
SANOFI;SANOFI INDIA LTD;5730;5842;5670.45;5827.25;5808.05;534;3063605
PFIZER;PFIZER LTD.;4156.65;4261.65;4156.65;4245.35;4252.8;527;2223481
GSFC;GUJARAT STATE FERTILIZERS & CH;182.2;185.1;179.85;183.9;185.05;60410;10998254
HINDUNILVR;HINDUSTAN UNILEVER LTD.;2324.1;2340;2302;2333.95;2333.95;83143;193358872
AKZOINDIA;AKZO NOBEL INDIA LIMITED;3412.15;3467.05;3400.75;3434.45;3443.9;248;852222
NOCIL;NOCIL LTD.;173.05;180;172;179.65;180;16733;2970798
TATACHEM;TATA CHEMICALS LTD.;772.3;820;772.3;817.45;820;27095;21822166
TNPETRO;TAMILNADU PETROPRODUCTS LTD.;76;78.68;76;77.19;77.08;15603;1209061
ZUARIIND;Zuari Industries Limited;275.6;276.25;267.25;274.25;275.3;4174;1131570
NESTLEIND;NESTLE INDIA LTD.;2280.75;2338.25;2280.75;2323.8;2323.8;149224;345589849
TATACONSUM;TATA CONSUMER PRODUCTS LIMITED;1082.4;1118;1082.4;1113.8;1113;17482;19234640
ASIANPAINT;ASIAN PAINTS LTD.;2230.35;2332.55;2230.35;2300.35;2303;41713;95748219
BRITANNIA;BRITANNIA INDUSTRIES LTD.;5367;5500.25;5363.6;5425;5425;38632;209871281
COLPAL;COLGATE-PALMOLIVE (INDIA) LTD.;2506.75;2556.75;2494.9;2551.15;2551.15;3756;9488158
EIHOTEL;EIH LTD.;353.95;353.95;334.2;347.9;348.75;61693;21147863
INDHOTEL;INDIAN HOTELS CO.LTD.;723.8;734.65;698.75;719.4;719.4;528989;376747026
CASTROLIND;CASTROL INDIA LTD.;194.85;200.4;193.55;199.75;199.7;82005;16234687
ITC;ITC LTD.;422.6;429;422.6;423.5;423.9;890146;380799728
APOLLOTYRE;APOLLO TYRES LTD.;475.6;481.5;460;466.75;466.75;139384;65332032
CEATLTD;CEAT LTD.;3566.5;3802.8;3539.75;3762.35;3762.35;18985;70064333
MODIRUBBER;MODI RUBBER LTD.;126;126;120;121.2;121.6;3732;454840
FINPIPE;FINOLEX INDUSTRIES LTD.;169.75;174.4;169.75;172.85;172.85;47633;8200234
PEOPLIN;PEOPLES INVESTMENTS LTD.;159.95;159.95;159.95;159.95;159.95;1;159
DSINVEST;DALAL STREET INVESTMENTS LTD.;400.6;408.75;400.6;400.6;400.6;30;12058
CENTRUM;CENTRUM CAPITAL LTD.;23.33;24.26;23.28;24.09;24.26;12902;304139
TCIFINANCE;TCI FINANCE LTD.;11.11;11.2;10.7;10.75;10.75;9814;106891
IITL;INDUSTRIAL INVESTMENT TRUST LT;171.75;176.4;168;169.55;169.55;2510;426981
INDPRUD;INDUSTRIAL & PRUDENTIAL INVEST;5552.2;5643.95;5505;5643.95;5643.95;15;83662
TATAINVEST;TATA INVESTMENT CORPORATION LT;5750.05;5836.95;5740;5812;5825.7;2451;14160989
JAYBHCR;JAYABHARAT CREDIT LTD.;16.06;16.06;15.87;15.87;15.87;216;3466
