TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
AAREYDRUGS;AAREY DRUGS & PHARMACEUTICALS;52;54;51.5;52.56;54;2882;150712
NORRIS;NORRIS MEDICINES LTD.;17;17.01;17;17;17.01;139;2363
ASINPET;ASIAN PETROPRODUCTS & EXPORTS;8.55;8.55;8.24;8.38;8.38;4995;41612
CAMEXLTD;CAMEX LTD.;38.52;39.85;37;38.67;38.67;313;12022
EVEXIA;EVEXIA LIFECARE LIMITED;2.42;2.58;2.42;2.52;2.54;1483504;3739585
INDOEURO;INDO EURO INDCHEM LTD.;12.5;13.9;12.5;13.75;13.9;307;4082
SYNCOMF;SYNCOM FORMULATIONS (INDIA) LT;14.26;15.24;14.26;15.05;15.05;191570;2863944
RIDDHI;RIDDHI SIDDHI GLUCO BIOLS LTD.;517.9;520;511;518.7;520;57;29490
SVCIND;SVC INDUSTRIES LIMITED;3.45;3.45;3.29;3.35;3.3;28346;94709
IPCALAB;IPCA LABORATORIES LTD.;1329;1366.85;1326.7;1355.75;1363;4053;5460975
KILITCH;KILITCH DRUGS (INDIA) LTD.;350.75;378.75;343;377.35;378.75;6214;2215908
RAAJMEDI;RAAJ MEDISAFE INDIA LTD.;79.38;79.38;79.38;79.38;79.38;100;7938
CORALAB;CORAL LABORATORIES LTD.;663;663;660.9;661;661;245;162251
KREBSBIO;KREBS BIOCHEMICALS & INDUSTRIE;72.6;74.5;72.28;73.94;73.94;1680;122294
KMCSHIL;KMC SPECIALITY HOSPITALS (INDI;62;65.94;61;64.82;65.4;72934;4618314
LAFFANSQ;LAFFANS PETROCHEMICALS LTD.;35.3;39;35.3;35.35;35.31;1033;36587
BHASKAGR;BHASKAR AGROCHEMICALS LTD.;75.5;75.5;71.5;72.4;72.39;1174;84894
SUKHJITS;SUKHJIT STARCH & CHEMICALS LTD;200;208.05;200;204.2;203.9;10956;2197052
SHARMEH;SHARMA EAST INDIA HOSPITALS &;75.45;75.45;75.45;75.45;75.45;12;905
NEULANDLAB;NEULAND LABORATORIES LTD.;12000.75;12500;11864.4;12434.7;12343;3241;39323697
GAYATRIBI;GAYATRI BIOORGANICS LTD.;6.6;6.99;6.5;6.83;6.92;13146;87637
PODDARMENT;PODDAR PIGMENTS LTD.;277;282.3;277;280;280;84;23279
PHARMAID;PHARMAIDS PHARMACEUTICALS LTD.;63.62;66.89;62.2;64.14;64.48;3676;234784
VIVIDIND;VIVID GLOBAL INDUSTRIES LTD.;15.2;15.2;14;15.12;15.12;3095;44193
PRIYALT;PRIYA LTD.;16.5;16.5;16.5;16.5;16.5;2;33
TIRUSTA;TIRUPATI STARCH & CHEMICALS LT;167.55;178;165.2;168.5;168.5;502;84728
HEMORGANIC;HEMO ORGANIC LIMITED;8.82;9.02;8.82;8.83;8.83;5782;51128
JAYSYNTH;JAYSYNTH ORGOCHEM LIMITED;18.55;19.75;18.55;19.07;19.01;15718;296993
AEONXDIGI;Aeonx Digital Technology Limit;136.1;142;136;142;142;788;107236
AKSHARCHEM;AKSHARCHEM (INDIA) LTD.;223.35;224.5;222.7;223.3;224.5;101;22553
BANDARAM;BANDARAM PHARMA PACKTECH LIMIT;39;39.5;37.11;39;39;314;12194
ADLINE;ADLINE CHEM LAB LIMITED;13.07;13.07;13.07;13.07;13.07;100;1307
BERLDRG;BERYL DRUGS LTD.;17.9;17.9;17.35;17.48;17.35;987;17321
INDXTRA;IEL LIMITED;5.27;5.29;4.61;5.02;4.98;108163;544457
GAGAN;GAGAN GASES LTD.;21.24;21.24;20.98;20.98;20.98;11233;236058
PARKERAC;PARKER AGROCHEM EXPORTS LTD.;14.46;15.99;14.46;15.2;15.2;289;4328
SHUKRAPHAR;Shukra Pharmaceuticals Limited;12.35;12.35;12.35;12.35;12.35;75242;929238
ALUFLUOR;ALUFLUORIDE LTD.;411;420.4;409;411.9;414;2595;1073884
OXYGENTAPH;OXYGENTA PHARMACEUTICAL LIMITE;82.68;82.68;80.25;80.3;80.3;205;16939
ARCHITORG;ARCHIT ORGANOSYS LTD.;38.8;38.8;37.4;38.65;38.65;1046;40185
SIKOZY;SIKOZY REALTORS LIMITED;1.01;1.01;1.01;1.01;1.01;20;20
INDOAMIN;INDO AMINES LTD.;123.85;124.9;120.3;123.6;122.2;18743;2296626
INDSWFTLTD;IND-SWIFT LTD.;12.2;12.99;12;12.39;12.5;8727;107023
NATCAPSUQ;NATURAL CAPSULES LTD.;196;211.85;196;205.95;199.05;825;164730
WELCURE;WELCURE DRUGS & PHARMACEUTICAL;10.26;10.77;10.05;10.64;10.64;78717;826142
BIBCL;BHARAT IMMUNOLOGICALS & BIOLOG;21.9;22.29;20.44;21.89;21.6;37502;805412
SOTL;SAVITA OIL TECHNOLOGIES LTD.;358.95;358.95;349.8;355.5;352.55;1831;646067
HESTERBIO;HESTER BIOSCIENCES LTD.;1678.25;1790;1618.15;1647.85;1627.7;1798;3007616
KABSON;KABSONS INDUSTRIES LTD.;25.18;26.17;23.94;24.83;24.11;9248;227509
BASANTGL;BASANT AGRO TECH (INDIA) LTD.;12.11;13.12;12.11;12.47;12.85;35964;446009
SANDUPHQ;SANDU PHARMACEUTICALS LTD.;46.05;48.5;46.05;48.5;48.5;18;863
NACLIND;NACL Industries Limited;158;170;157.25;162.15;162.15;71888;11393511
VISTAPH;VISTA PHARMACEUTICALS LTD.;10.74;10.74;9.93;10.04;10.45;1691;17468
SUNPHARMA;SUN PHARMACEUTICAL INDUSTRIES;1740.05;1765.9;1732;1744.85;1744.5;14684;25633444
TITANBIO;TITAN BIOTECH LTD.;425.25;460.9;425.25;441.2;441;7112;3158142
JENBURPH;JENBURKT PHARMACEUTICALS LTD.;1006.6;1013;982.65;1003.65;1000;426;426698
HIKAL;HIKAL LTD.;374;387.4;371.05;386.5;387.4;8055;3048013
CAPLIPOINT;CAPLIN POINT LABORATORIES LTD.;1839.05;1881;1839.05;1867.35;1856.6;2620;4866438
FISCHER;FISCHER MEDICAL VENTURES LIMIT;750;761;721.25;758.9;750;2274;1669562
LINKPH;LINK PHARMA CHEM LTD.;34;34;33.01;33.01;33.01;200;6701
DECIPHER;DECIPHER LABS LIMITED;11.2;11.2;10.6;10.84;10.9;4698;51059
EMMESSA;EMMESSAR BIOTECH & NUTRITION L;34;34;31.5;33.99;33.99;1074;34973
NGLFINE;NGL FINE-CHEM LTD.;1080;1130;1050;1127.85;1130;1232;1360842
EVERESTO;EVEREST ORGANICS LTD.;435;435;416.35;416.35;416.35;860;358642
AUROPHARMA;AUROBINDO PHARMA LTD.;1140.05;1166.75;1132.55;1163.65;1163.65;18131;20919529
NATCOPHARM;NATCO PHARMA LTD.;752.1;810.9;752.1;809.55;809.55;68586;54592175
DYNAMIND;DYNAMIC INDUSTRIES LTD.;96;96;92.6;92.9;92.6;337;31730
PANAMAPET;PANAMA PETROCHEM LTD.;371.1;381.4;360;379.45;381.4;1259;462739
BALPHARMA;BAL PHARMA LTD.;96.2;96.2;93.5;94.8;94.5;747;70785
BDH;BDH INDUSTRIES LTD.;268.5;269.9;265;268.95;269;316;84460
JAUSPOL;JAUSS POLYMERS LTD.;7.03;7.03;7.03;7.03;7.03;5;35
GLOBUSCON;GLOBUS CONSTRUCTORS & DEVELOPE;13.23;14.59;13.23;13.88;14;33974;457277
CUBEXTUB;CUBEX TUBINGS LTD.;71.16;71.16;67.34;69.13;69;2361;162754
POLYCHMP;POLYMECHPLAST MACHINES LTD.;53.41;55.27;53.25;53.6;53.6;1355;72593
STELLANT;STELLANT SECURITIES (INDIA) LT;129.95;129.95;129.95;129.95;129.95;1;129
GALXBRG;GALAXY BEARINGS LTD.;700;737.5;683;723.8;737.5;860;616028
SCAGRO;SC Agrotech Limited;15.4;16.9;15.4;16.74;16.69;332;5237
RALEGRA;RAVILEELA GRANITES LTD.;41.8;41.8;34.57;37.8;37.8;574;20566
UNRYLMA;UNIROYAL MARINE EXPORTS LTD.;14.05;14.05;13.77;13.77;13.77;101;1392
SHERVANI;SHERVANI INDUSTRIAL SYNDICATE;428;428;414.95;414.95;414.95;13;5459
BNHOLDINGS;BN HOLDINGS LIMITED;150.5;161;150.5;157.7;156;48256;7649359
SUPERTEX;SUPERTEX INDUSTRIES LTD.;7.44;7.89;7.44;7.85;7.89;50;392
SHETR;SHETRON LTD.;120.4;125;120.4;124;123;1210;149130
TRABI;TRANSGENE BIOTEK LTD.;3.62;3.62;3.55;3.55;3.55;6152;21963
MPL;MPL PLASTICS LTD.;9.79;9.79;9.4;9.78;9.78;1070;10412
NIKHILAD;NIKHIL ADHESIVES LTD.;81.01;83.99;79;83.91;83.9;6600;532557
SPENTA;SPENTA INTERNATIONAL LTD.;111.7;130;111.7;128.25;128.25;379;48277
MULTIBASE;MULTIBASE INDIA LTD.;250.15;274.75;250.15;272.6;272.6;9100;2393882
ANDREWYU;ANDREW YULE & COMPANY LTD.;25.8;26.74;25.05;26.43;26.14;112653;2929125
LUDLOWJUT;LUDLOW JUTE & SPECIALITIES LTD;214.5;218;214.5;218;218;1623;348235
ASHRAM;ASHRAM ONLINE.COM LTD.;5.7;5.7;5.7;5.7;5.7;120;684
ROYALCU;ROYAL CUSHION VINYL PRODUCTS L;25.5;27.4;25.5;27.39;27.39;3163;85706
SURJIND;SURAJ INDUSTRIES LTD.;81.6;83.85;80.31;83.29;83.85;3877;318828
HITECHCORP;Hitech Corporation Limited;170;170;165;168;168;899;151279
BLOOM;BLOOM DEKOR LTD.;11;11;10.5;10.5;10.5;12;129
FILATEX;FILATEX INDIA LTD.;40.15;43.19;40.15;43.1;43.19;48890;2073737
STDSFAC;STANDARD SURFACTANTS LTD.;44.99;44.99;42;42;42;60;2523
MORGAN;MORGAN VENTURES LTD.;80.2;83.9;80.06;80.76;81.95;1618;130389
AMRAPLIN;AMRAPALI INDUSTRIES LTD.;16.07;16.99;15.25;15.52;15.39;4304;67950
PREMEXPLN;PREMIER EXPLOSIVES LTD.;382.35;482;382.35;479.55;479.55;612882;279394384
MIDEASTP;MID EAST PORTFOLIO MANAGEMENT;21.69;21.69;19.63;19.66;20.93;163670;3217178
MOLDTECH;MOLD-TEK TECHNOLOGIES LTD.;121.55;133.05;121.55;129.9;132.7;6697;863484
CRSTCHM;CRESTCHEM LTD.;178.95;196.9;178.95;196.75;196.75;982;178555
MPHASIS;MPHASIS LTD.;2357.05;2391.25;2307.1;2385.85;2387;5700;13490087
MEDINOV;MEDINOVA DIAGNOSTIC SERVICES L;38;39.75;37.6;39.59;39.59;2366;91958
DIVSHKT;DIVYASHAKTI LIMITED;64.5;64.5;60.21;61;61.5;3107;189934
ORIENTLTD;ORIENT PRESS LTD.;81.68;81.68;77.77;79.62;79.62;6649;524947
SHREYASI;SHREYAS INTERMEDIATES LTD.;8.44;9.27;8.42;8.7;8.79;5426;46694
PANJON;PANJON LTD.;19;19.99;18.5;18.56;18.56;1601;30150
DUROPACK;DUROPACK LTD.;73.04;79.98;73.04;73.63;79.98;478;34920
SWARNSAR;SWARNSARITA JEWELS INDIA LIMIT;33;33;31.05;31.81;31.36;4710;150684
GANESHHOUC;GANESH HOUSING CORPORATION LTD;996.05;1030.25;996.05;1014;1028.55;3902;3945875
NMDC;NMDC LTD.;61.61;64.66;61.61;64.36;64.36;639705;40508723
CINDHO;CINDRELLA HOTELS LTD.;61.05;61.05;61.05;61.05;61.05;15;915
PATINTLOG;PATEL INTEGRATED LOGISTICS LTD;13.73;14.5;13.73;14.27;14.5;32467;454847
ALPHAGEO;ALPHAGEO (INDIA) LTD.;220;233.2;220;233.2;233.2;301;67129
HAMPTON;HAMPTON SKY REALTY LIMITED;23.25;24.98;23.25;24.96;24.96;80365;1949671
KKALPANAIND;KKALPANA INDUSTRIES (INDIA) LT;12.39;12.39;11.23;11.25;11.25;91293;1025970
OKPLA;OK PLAY INDIA LTD.;9.5;9.6;8.92;9.2;9.2;1193723;10936983
KRITI;KRITI INDUSTRIES (INDIA) LTD.;103.76;117;103.76;114.55;115;13029;1500561
ASMTEC;ASM TECHNOLOGIES LTD.;1365.05;1455;1365.05;1428.15;1427.5;11680;16509045
PERFEPA;PERFECTPAC LTD.;99.45;100;97.95;98.3;99;2685;266211
AMBIT;AMBITIOUS PLASTOMAC COMPANY LT;9.78;9.78;9.78;9.78;9.78;12;117
VISIONCINE;VISION CINEMAS LTD.;1.09;1.13;1.03;1.03;1.03;41358;43480
AEIM;Artificial Electronics Intelli;252.85;252.85;252.85;252.85;252.85;829;209612
INDRANIB;INDRAYANI BIOTECH LTD.;16.62;16.62;16.62;16.62;16.62;445;7395
EUROLED;EURO LEDER FASHION LTD.;20.7;20.75;20.57;20.7;20.7;487;10051
WINSOMBR;WINSOME BREWERIES LTD.;33;33.99;31.5;32.25;32.24;12052;389281
ELEFLOR;ELEGANT FLORICULTURE & AGROTEC;4.99;5.07;4.63;4.84;4.84;9864;47654
SKYIND;SKY INDUSTRIES LTD.;85;86.45;81.6;85.62;85.5;968;82141
PHOENXINTL;PHOENIX INTERNATIONAL LTD.;39.6;41.49;39.54;39.65;39.65;5193;208904
BHUDEVI;BHUDEVI INFRA PROJECTS LIMITED;329.4;329.6;329.4;329.6;329.6;352;115980
PRATIK;PRATIK PANELS LTD.;7.02;7.37;6.95;7.1;7.06;512095;3569558
RISHIROOP;Rishiroop Limited;110.15;115;110.15;114.7;115;1560;177656
PROMACT;PROMACT IMPEX LIMITED;10.98;10.98;9.89;10.8;10.8;313;3392
STRGRENWO;STERLING GREEN WOODS LTD.;36.8;36.8;34.96;35.02;34.96;618;21760
SYSTMTXC;SYSTEMATIX CORPORATE SERVICES;124;129.75;117;121.15;121;43517;5271224
SHAHISHIP;Shahi Shipping Limited;16.25;16.92;15.06;15.67;16.17;5480;87555
ALPINEHOU;ALPINE HOUSING DEVELOPMENT COR;110.55;112.5;109.05;109.3;112.5;192;20989
SANGHIIND;SANGHI INDUSTRIES LTD.;53.4;58.94;53.4;58.26;58.02;6735;387247
WWALUM;WORLDWIDE ALUMINIUM LIMITED;19.86;19.86;19.86;19.86;19.86;1000;19860
IIRM;IIRM HOLDINGS INDIA LIMITED;80.07;80.46;80.07;80.46;80.46;13;1042
SFPIL;SQUARE FOUR PROJECTS INDIA LIM;10.29;10.29;9.78;10.29;10.29;83;817
SGLRES;SGL RESOURCES LIMITED;2.59;2.75;2.51;2.72;2.75;147002;397045
CHOKSILA;CHOKSI LABORATORIES LTD.;115.05;115.1;109.5;112.95;112.95;2915;324771
CCHHL;COUNTRY CLUB HOSPITALITY AND H;15.2;15.27;14.45;14.95;14.95;6396;95613
MIDWEST;MIDWEST GOLD LTD.;426.3;443.7;426.3;443.7;443.7;1533;656942
TPLPLASTEH;TPL PLASTECH LTD.;72;76.51;72;75.59;75.47;12010;895448
WIMPLAST;WIM PLAST LTD.;460;466.95;450;460.35;461.95;9292;4234914
PHOTOQUP;PHOTOQUIP INDIA LTD.;19.69;19.69;19.15;19.15;19.15;26;503
LIBERTSHOE;LIBERTY SHOES LTD.;390;403.85;386.05;394.65;395.35;6652;2622471
LIPPISYS;LIPPI SYSTEMS LTD.;21.31;21.41;20.76;20.76;20.76;2875;60184
ELECTHERM;ELECTROTHERM (INDIA) LTD.;1068.5;1068.5;1068.5;1068.5;1068.5;502;536387
BLUEDART;BLUE DART EXPRESS LTD.;6594.4;6705;6533.45;6671.05;6685;375;2487719
